APPROVED SYMBOL	ALIASES
DNAJC19P3	
TBG~WITHDRAWN	
SERPINA6	
MIR3186	HSA-MIR-3186
RNA5SP28	
LINC00637	
SNAR-C4	
NR5A1	FTZ1, SF-1, ELP, AD4BP
APCDD1L	FLJ90166
HSD3B2	SDR11E2
NEU1	
RNA5SP58	
BTBD9-AS1	
CLNS1A	ICLN
ZNF503-AS2	
PHF21A	BHC80, KIAA1696, BM-006
TOR2A	FLJ14771, TORP1
CRYGP2~WITHDRAWN	
KATNBL1P4	
TRNAA6	
PMM2P2	
ANIB1	
HMGN1P10	
RPS26P3	BA338L20.1
TDRP	INM01, TDRP1, TDRP2
TCEB3B	HST832, TCEB3L
ZNF128~WITHDRAWN	
GPR85	SREB2
TXDI3~WITHDRAWN	
AKR1E2	MGC10612
ST3GAL2	ST3GALII, ST3GALA.2
ZNF792	FLJ38451
CACNG5	
TRNAP21	
IGLV2-8	
FAM86HP	
ARHGAP42P1	
PNPLA4	DXS1283E, GS2, IPLA2ETA
SUSD2P1	
PGAM5P1	
RNU6-2	U6-2
ZNF39L1~WITHDRAWN	
PGDP2	
RN7SKP48	
CICP7	
DGCR9	DGS-A, POM121L5P
RPSAP48	
BOR~WITHDRAWN	
HMGN1P18	
MIR4699	HSA-MIR-4699
BCD1~WITHDRAWN	
OR8N1P~WITHDRAWN	
ARR1~WITHDRAWN	
RNU2-66P	
SIDT2	CGI-40
SPATA33	FLJ31606
FRMPD4	KIAA0316
LINC00434	
C1ORF109	FLJ20508
SMARCD1	BAF60A, RSC6P, CRACD1
RNU7-137P	
RNA5SP257	
RPN1	OST1
SLC2A3P3~WITHDRAWN	
CD8B	
FLT2~WITHDRAWN	
RNA5SP485	
TRNAA21	
DDIT4L	REDD2, RTP801L
SNORA24	ACA24
RN7SL420P	
C9ORF38	PRO0365
NTS	
ADAMTS18	
RS1	XLRS1
JAG2	
CTNNG~WITHDRAWN	
SLC25A41	FLJ40442, MGC34725, APC4
MYBL1	AMYB, A-MYB
ANKRD42	FLJ37874, SARP
OR7A20P~WITHDRAWN	
CFHR5	FHR5, FHR-5
RNF126	FLJ20552
PSME4	PA200, KIAA0077
RASSF1	NORE2A, REH3P21, RDA32, 123F2
OR9A4	
FEM1A	
OR7E149P	
APOB	
RN7SL512P	
NRXN2	
WRAP53	FLJ10385, TCAB1
ACADS	SCAD, ACAD3
GZMM	MET1, LMET1
C20ORF148~WITHDRAWN	
